time,count
247204814.904,734.5
247204816.904,733.0
247204818.904,750.5
247204820.904,721.5
247204822.904,766.0
247204824.904,747.0
247204826.904,770.5
247204828.904,750.0
247204830.904,761.0
247204832.904,766.0
247204834.904,825.5
247204836.904,825.5
247204838.904,845.5
247204840.904,769.5
247204842.904,755.0
247204844.904,738.0
247204846.904,753.5
247204848.904,724.5
247204850.904,728.5
247204852.904,763.5
247204854.904,718.5
247204856.904,721.0
247204858.904,777.5
247204860.904,727.5
247204862.904,738.5
247204864.904,787.0
247204866.904,776.0
247204868.904,783.5
247204870.904,766.5
247204872.904,734.5
247204874.904,757.0
247204876.904,742.0
247204878.904,733.0
247204880.904,739.5
247204882.904,761.5
247204884.904,753.0
247204886.904,778.5
247204888.904,752.5
247204890.904,772.0
247204892.904,750.5
247204894.904,773.5
247204896.904,745.0
247204898.904,751.0
247204900.904,765.0
247204902.904,746.0
247204904.904,767.5
247204906.904,776.0
247204908.904,737.0
247204910.904,747.5
247204912.904,745.0
247204914.904,789.0
247204916.904,728.5
247204918.904,713.0
247204920.904,749.5
247204922.904,780.0
247204924.904,724.0
247204926.904,742.5
247204928.904,747.0
247204930.904,738.0
247204932.904,757.5
247204934.904,773.5
247204936.904,733.0
247204938.904,720.5
247204940.904,758.5
247204942.904,753.5
247204944.904,734.5
247204946.904,744.0
247204948.904,734.5
247204950.904,782.0
247204952.904,740.5
247204954.904,751.5
247204956.904,742.0
247204958.904,731.0
247204960.904,724.5
247204962.904,735.0
247204964.904,767.5
247204966.904,736.0
247204968.904,746.0
247204970.904,735.5
247204972.904,761.0
247204974.904,740.5
247204976.904,735.5
247204978.904,739.0
247204980.904,763.0
247204982.904,744.0
247204984.904,725.0
247204986.904,724.5
247204988.904,708.5
247204990.904,731.5
